WindSpeed[m/s],Power[MW],Ct
3.0,0.490077,0.779578
4.0,1.200354,0.820966
5.0,2.355715,0.82957
6.0,4.077521,0.83299
7.0,6.448336,0.826455
8.0,9.54798,0.815204
9.0,13.434352,0.798969
10.0,17.15365,0.675541
11.0,20.830609,0.583257
12.0,22.000215,0.443236
13.0,21.999677,0.33362
14.0,21.999691,0.261041
15.0,21.999929,0.209633
16.0,21.999809,0.171731
17.0,22.000352,0.142894
18.0,21.999967,0.120481
19.0,22.000235,0.102746
20.0,22.000061,0.08852
21.0,22.000308,0.076938
22.0,21.999685,0.067403
23.0,22.000097,0.059474
24.0,21.999638,0.052814
25.0,22.00005,0.04719
